Κλούβας Αλέξανδρος
Λαμπρίδης Δημήτριος
Λιτσαρδάκης Γεώργιος
Μπακιρτζής Αναστάσιος
Φέσσας Προκόπιος
Ζιούτας Γεώργιος
Μικρόπουλος Παντελής
Παπαγιάννης Γρηγόριος
Δημουλιάς Χάρης
Δημουλιάς Χαράλαμπος
Μαδεμλής Χρήστος
Χατζηαθανασίου Βασίλειος
Ανδρέου Γεώργιος
Αλεξιάδης Μηνάς
Καδή Στυλιανή
Μπίσκας Παντελής
Βασιλείου Τάκης
Δουλγέρη Ζωή
Θεοχάρης Ιωάννης
Μήτκας Περικλής
Πάγκαλος Γεώργιος
Χασάπης Γεώργιος
Χατζόπουλος Αλκιβιάδης
Κεχαγιάς Αθανάσιος
Κουγιουμτζής Δημήτριος
Mητράκος Δημήτριος
Πέτρου Λουκάς
Ροβιθάκης Γεώργιος
Ντελόπουλος Αναστάσιος
Δοκουζγιάννης Σταύρος
Πιτσιάνης Νικόλαος
Πιτσούλης Λεωνίδας
Κορτέσης Σταύρος
Συμεωνίδης Ανδρέας
Παπαλάμπρου Κωνσταντίνος
Δάϊος Απόστολος
Καδή Χριστίνα
Σταμούλης Γεώργιος
Αντωνόπουλος Χρήστος
Γεωργιάδης Λεωνίδας
Καραγιαννίδης Γεώργιος
Κριεζής Εμμανουήλ
Ξένος Θωμάς
Παπανικολάου Γεώργιος
Παυλίδου Φωτεινή-Νιόβη
Σεργιάδης Γεώργιος
Τσιμπούκης Θεόδωρος
Χατζηλεοντιάδης Λεόντιος
Χρυσουλίδης Δημήτριος
Παπαγιαννάκης Αντώνης
Ρέκανος Ιωάννης
Γιούλτσης Τραϊανός
Ατρέας Νικόλαος
Γκανούλης Νικόλαος
Δημάκης Χρήστος
Κανταρτζής Νικόλαος
Επαμεινώνδας Κριεζής
Σταμάτιος Kουρής
Πέτρος Ντοκόπουλος
Μιχαήλ Αντωνόπουλος-Ντόμης
Ιωάννης Κοντολέων
Μιχαήλ-Γεράσιμος Στρίντζης
Διονύσιος Ευθυμιάτος
Νικόλαος Καλινδέρης
Ιωάννης Μανωλόπουλος
Νικόλαος Ι. Μάργαρης
Νικόλαος Μάργαρης
Ιωάννης Ξυπτεράς
Σταύρος Πανάς
Βασίλειος Πετρίδης
Ιωάννης Πήτας
Δημήτριος Σαμαράς
Κωνσταντίνος Στασινόπουλος
Απόστολος Τραγανίτης
Αθανάσιος Παπούλης
